campagna,MedianWeight,MeanWeight,TemperatureC,DOmgL,pH,Year,Monthnumber,Week,Dayofmonth,Hour,SpConducibilitymicroScm,DOoutmgLTARGET,pHout,ConducibilitymicroScm,DOsat,DOlocal,SpConducibilitymicroScmOUT,Tagliag,Biomassakg,quantomangimekg,timestamped,y_test,predicted
2236,3,219.0,230.87912087912088,14.207,14.1,7.88,2020,7,30,20,7,177.8,12.43,7.62,143.6,122.7,122.7,178.5,310.29,11481.0,0.0,2020.0_30.0_20.0_7.0,12.429999,12.163925
1658,3,300.0,324.99999999999994,14.102,14.24,8.01,2020,7,29,14,9,173.1,12.72,7.71,137.1,125.0,125.0,171.2,310.29,11731.0,0.0,2020.0_29.0_14.0_9.0,12.72,11.551657
3439,3,302.0,312.8571428571429,16.98,10.82,8.02,2020,8,31,2,4,163.7,9.57,7.6,143.7,100.3,100.3,167.5,310.29,10803.0,0.0,2020.0_31.0_2.0_4.0,9.57,10.214209
3620,3,314.0,305.6363636363636,16.827,11.75,8.12,2020,8,34,22,4,178.9,10.39,7.63,153.9,108.3,108.3,180.3,318.27,9838.0,0.0,2020.0_34.0_22.0_4.0,10.390001,12.205953
1615,3,372.0,359.9230769230769,14.988,13.75,7.85,2020,7,29,14,4,173.7,11.82,7.62,145.2,118.2,118.2,178.0,310.29,11731.0,0.0,2020.0_29.0_14.0_4.0,11.82,11.411428
2475,3,252.5,264.38000000000005,14.342,14.15,8.15,2020,7,30,22,9,175.7,13.27,7.82,142.2,130.6,130.6,177.2,310.29,11390.0,0.0,2020.0_30.0_22.0_9.0,13.270001,11.356709
2635,3,175.0,209.13333333333333,16.366,12.78,7.84,2020,7,30,24,3,167.4,10.69,7.44,128.5,110.3,110.3,152.1,310.29,11314.0,0.0,2020.0_30.0_24.0_3.0,10.69,10.382246
1664,3,300.0,324.99999999999994,14.102,14.24,8.01,2020,7,29,14,9,173.1,12.93,7.76,137.6,126.9,126.9,172.2,310.29,11731.0,0.0,2020.0_29.0_14.0_9.0,12.93,11.925705
3905,3,305.0,307.8898305084746,13.91,12.36,8.3,2020,8,35,26,8,177.4,10.75,7.78,141.9,104.9,104.9,178.7,321.37,9633.0,0.0,2020.0_35.0_26.0_8.0,10.749999,10.403312
4259,3,282.0,285.7959183673469,12.71,12.68,8.32,2020,9,36,2,1,198.7,11.42,7.99,155.4,108.7,108.7,201.2,329.97,9637.0,0.0,2020.0_36.0_2.0_1.0,11.42,11.178906
